N,Origin,Destination,year,mean_trueflows,median_trueflows,q2.5_trueflows,q97.5_trueflows
1459,Africa,Ecuador,1994,24,24,9,64
1460,Asia,Ecuador,1994,279,272,130,705
1461,Europe,Ecuador,1994,583,555,195,1453
1462,Oceania,Ecuador,1994,39,38,14,99
1463,Argentina,Paraguay,1994,8797,8465,3249,25435
1464,Bolivia,Paraguay,1994,118,117,41,292
1465,Brazil,Paraguay,1994,4589,4448,2005,12043
1466,Chile,Paraguay,1994,193,199,83,463
1467,Colombia,Paraguay,1994,31,31,12,69
1468,Ecuador,Paraguay,1994,16,15,6,46
1469,Peru,Paraguay,1994,115,116,44,321
1470,Uruguay,Paraguay,1994,171,165,82,398
1471,Venezuela,Paraguay,1994,19,20,7,45
1472,USA,Paraguay,1994,292,288,101,744
1473,Canada,Paraguay,1994,97,97,42,268
1474,Spain,Paraguay,1994,61,62,21,142
1475,America,Paraguay,1994,121,125,43,331
1476,Africa,Paraguay,1994,26,27,10,58
1477,Asia,Paraguay,1994,432,426,186,1013
1478,Europe,Paraguay,1994,321,313,140,726
1479,Oceania,Paraguay,1994,9,9,4,26
1480,Argentina,Peru,1994,4286,4332,1686,11031
1481,Bolivia,Peru,1994,2737,2785,1020,5876
1482,Brazil,Peru,1994,2364,2501,749,5305
1483,Chile,Peru,1994,2297,2270,870,6653
1484,Colombia,Peru,1994,2254,2259,767,7314
1485,Ecuador,Peru,1994,1398,1438,498,3400
1486,Paraguay,Peru,1994,234,231,94,655
1487,Uruguay,Peru,1994,248,254,91,487
1488,Venezuela,Peru,1994,1963,1917,720,5549
1489,USA,Peru,1994,9084,9109,3450,27084
1490,Canada,Peru,1994,729,726,304,1803
1491,Spain,Peru,1994,1658,1573,764,4333
1492,America,Peru,1994,2704,2715,982,7905
1493,Africa,Peru,1994,271,272,94,605
1494,Asia,Peru,1994,4560,4485,1754,10912
1495,Europe,Peru,1994,6454,6741,2364,15485
1496,Oceania,Peru,1994,276,274,104,736
1497,Argentina,Uruguay,1994,2533,2478,1216,5686
1498,Bolivia,Uruguay,1994,36,36,17,83
1499,Brazil,Uruguay,1994,1073,1049,506,2454
1500,Chile,Uruguay,1994,113,109,51,269
1501,Colombia,Uruguay,1994,33,33,14,68
1502,Ecuador,Uruguay,1994,33,33,14,87
1503,Paraguay,Uruguay,1994,127,123,59,270
1504,Peru,Uruguay,1994,70,71,37,129
1505,Venezuela,Uruguay,1994,116,112,56,252
1506,USA,Uruguay,1994,459,438,231,987
1507,Canada,Uruguay,1994,111,115,38,221
1508,Spain,Uruguay,1994,389,377,198,921
1509,America,Uruguay,1994,1622,1592,772,3426
1510,Africa,Uruguay,1994,191,193,75,472
1511,Asia,Uruguay,1994,933,933,421,2007
1512,Europe,Uruguay,1994,772,755,366,1651
1513,Oceania,Uruguay,1994,194,188,97,432
1514,Argentina,Venezuela,1994,665,675,260,1699
1515,Bolivia,Venezuela,1994,144,150,55,370
1516,Brazil,Venezuela,1994,610,594,226,1467
1517,Chile,Venezuela,1994,478,485,209,1100
1518,Colombia,Venezuela,1994,34808,35303,12495,90798
1519,Ecuador,Venezuela,1994,1451,1492,437,4083
1520,Paraguay,Venezuela,1994,40,38,16,95
1521,Peru,Venezuela,1994,1939,1977,678,4559
1522,Uruguay,Venezuela,1994,112,118,43,281
1523,USA,Venezuela,1994,1784,1808,642,5873
1524,Canada,Venezuela,1994,126,130,53,302
1525,Spain,Venezuela,1994,717,704,281,1763
1526,America,Venezuela,1994,4479,4532,1759,14010
1527,Africa,Venezuela,1994,194,192,80,502
1528,Asia,Venezuela,1994,1917,1931,670,5486
1529,Europe,Venezuela,1994,2153,2181,884,5909
1530,Oceania,Venezuela,1994,431,432,147,1210
1531,Bolivia,Argentina,1995,3437,3511,1362,9369
1532,Brazil,Argentina,1995,996,1025,418,2430
1533,Chile,Argentina,1995,2912,3046,1098,6971
1534,Colombia,Argentina,1995,312,320,123,772
1535,Ecuador,Argentina,1995,118,119,49,290
1536,Paraguay,Argentina,1995,4242,4267,1883,10840
1537,Peru,Argentina,1995,1858,1901,847,5952
1538,Uruguay,Argentina,1995,1077,1080,489,2751
1539,Venezuela,Argentina,1995,211,204,90,524
1540,USA,Argentina,1995,784,757,356,2028
1541,Canada,Argentina,1995,58,59,24,156
1542,Spain,Argentina,1995,549,544,219,1521
1543,America,Argentina,1995,968,949,392,2137
1544,Africa,Argentina,1995,76,79,36,220
1545,Asia,Argentina,1995,537,539,215,1281
1546,Europe,Argentina,1995,1274,1282,524,3090
1547,Oceania,Argentina,1995,63,64,27,136
1548,Argentina,Bolivia,1995,3604,3593,1459,7630
1549,Brazil,Bolivia,1995,1412,1449,613,3893
1550,Chile,Bolivia,1995,451,446,146,1273
1551,Colombia,Bolivia,1995,134,132,49,322
1552,Ecuador,Bolivia,1995,88,89,33,217
1553,Paraguay,Bolivia,1995,166,166,67,383
1554,Peru,Bolivia,1995,808,843,338,2013
1555,Uruguay,Bolivia,1995,31,31,14,68
1556,Venezuela,Bolivia,1995,71,70,30,204
1557,USA,Bolivia,1995,836,832,317,2056
1558,Canada,Bolivia,1995,98,97,46,217
1559,Spain,Bolivia,1995,157,145,71,394
1560,America,Bolivia,1995,471,475,201,1261
1561,Africa,Bolivia,1995,38,39,13,94
1562,Asia,Bolivia,1995,279,271,122,693
1563,Europe,Bolivia,1995,534,514,226,1204
1564,Oceania,Bolivia,1995,19,19,7,53
1565,Argentina,Brazil,1995,8908,8527,4314,19681
1566,Bolivia,Brazil,1995,1968,2020,707,6220
1567,Chile,Brazil,1995,952,930,377,2358
1568,Colombia,Brazil,1995,950,966,429,2369
1569,Ecuador,Brazil,1995,181,191,66,523
1570,Paraguay,Brazil,1995,6365,6600,2247,20727
1571,Peru,Brazil,1995,3473,3395,1321,10601
1572,Uruguay,Brazil,1995,921,914,328,2138
1573,Venezuela,Brazil,1995,464,461,168,1403
1574,USA,Brazil,1995,5197,5107,2560,12319
1575,Canada,Brazil,1995,304,301,130,700
1576,Spain,Brazil,1995,952,969,340,2727
1577,America,Brazil,1995,4702,4480,1819,13006
1578,Africa,Brazil,1995,1320,1323,550,3433
1579,Asia,Brazil,1995,12502,13209,4473,29741
1580,Europe,Brazil,1995,19825,20432,8903,46627
1581,Oceania,Brazil,1995,177,186,67,436
1582,Argentina,Chile,1995,9459,9685,4297,19260
1583,Bolivia,Chile,1995,800,838,278,1781
1584,Brazil,Chile,1995,1241,1260,497,3192
1585,Colombia,Chile,1995,432,415,183,1071
1586,Ecuador,Chile,1995,1125,1075,464,3273
1587,Paraguay,Chile,1995,189,190,79,415
1588,Peru,Chile,1995,2515,2528,1097,5589
1589,Uruguay,Chile,1995,230,221,91,600
1590,Venezuela,Chile,1995,822,846,328,1941
1591,USA,Chile,1995,1408,1395,590,3502
1592,Canada,Chile,1995,416,411,166,922
1593,Spain,Chile,1995,672,684,267,1628
1594,America,Chile,1995,963,931,431,2590
1595,Africa,Chile,1995,136,135,57,376
1596,Asia,Chile,1995,663,635,294,1893
1597,Europe,Chile,1995,2084,2175,707,5139
1598,Oceania,Chile,1995,300,293,130,664
1599,Argentina,Colombia,1995,362,349,114,1159
1600,Bolivia,Colombia,1995,72,71,25,225
1601,Brazil,Colombia,1995,311,335,118,824
1602,Chile,Colombia,1995,153,137,50,482
1603,Ecuador,Colombia,1995,1799,1782,632,4290
1604,Paraguay,Colombia,1995,27,29,10,73
1605,Peru,Colombia,1995,475,453,152,1383
1606,Uruguay,Colombia,1995,54,52,19,138
1607,Venezuela,Colombia,1995,8073,8154,2382,21039
1608,USA,Colombia,1995,6592,7188,2230,16749
1609,Canada,Colombia,1995,241,222,100,736
1610,Spain,Colombia,1995,779,732,289,2250
1611,America,Colombia,1995,1796,1868,705,4360
1612,Africa,Colombia,1995,69,73,25,199
1613,Asia,Colombia,1995,790,766,315,2292
1614,Europe,Colombia,1995,1807,1897,586,5109
1615,Oceania,Colombia,1995,131,126,52,359
1616,Argentina,Ecuador,1995,176,170,79,382
1617,Bolivia,Ecuador,1995,55,54,22,141
1618,Brazil,Ecuador,1995,123,125,50,277
1619,Chile,Ecuador,1995,265,269,113,587
1620,Colombia,Ecuador,1995,2767,2739,1166,6026
1621,Paraguay,Ecuador,1995,14,14,6,32
1622,Peru,Ecuador,1995,304,295,140,650
1623,Uruguay,Ecuador,1995,27,27,11,65
1624,Venezuela,Ecuador,1995,346,343,143,1080
1625,USA,Ecuador,1995,1816,1962,714,4536
1626,Canada,Ecuador,1995,118,123,49,266
1627,Spain,Ecuador,1995,322,305,157,787
1628,America,Ecuador,1995,466,475,170,1143
1629,Africa,Ecuador,1995,29,28,12,80
1630,Asia,Ecuador,1995,286,285,135,660
1631,Europe,Ecuador,1995,666,689,270,1492
1632,Oceania,Ecuador,1995,52,53,17,112
1633,Argentina,Paraguay,1995,7925,7823,2670,18984
1634,Bolivia,Paraguay,1995,118,114,51,364
1635,Brazil,Paraguay,1995,4465,4600,1742,11983
1636,Chile,Paraguay,1995,203,207,83,446
1637,Colombia,Paraguay,1995,42,41,14,104
1638,Ecuador,Paraguay,1995,18,18,8,40
1639,Peru,Paraguay,1995,128,127,58,288
1640,Uruguay,Paraguay,1995,208,207,75,610
1641,Venezuela,Paraguay,1995,28,28,10,70
1642,USA,Paraguay,1995,296,313,115,650
1643,Canada,Paraguay,1995,96,92,36,244
1644,Spain,Paraguay,1995,65,67,24,183
1645,America,Paraguay,1995,115,118,46,285
1646,Africa,Paraguay,1995,27,28,10,80
1647,Asia,Paraguay,1995,475,470,216,1196
1648,Europe,Paraguay,1995,304,310,108,679
1649,Oceania,Paraguay,1995,9,9,4,27
1650,Argentina,Peru,1995,4233,4204,1869,9502
1651,Bolivia,Peru,1995,2509,2606,1102,5734
1652,Brazil,Peru,1995,2000,2132,886,4564
1653,Chile,Peru,1995,2257,2258,996,5270
1654,Colombia,Peru,1995,2058,2106,731,5036
1655,Ecuador,Peru,1995,1225,1167,559,3249
1656,Paraguay,Peru,1995,219,219,91,546
1657,Uruguay,Peru,1995,233,235,112,473
1658,Venezuela,Peru,1995,1887,1863,790,4725
1659,USA,Peru,1995,8914,9018,3186,29909
1660,Canada,Peru,1995,668,670,269,1430
1661,Spain,Peru,1995,1691,1601,763,4985
1662,America,Peru,1995,2230,2233,917,5797
1663,Africa,Peru,1995,270,275,115,896
1664,Asia,Peru,1995,4181,3917,1691,12845
1665,Europe,Peru,1995,6010,5762,2088,18667
1666,Oceania,Peru,1995,246,241,97,667
1667,Argentina,Uruguay,1995,2621,2510,1197,5753
1668,Bolivia,Uruguay,1995,44,46,19,90
1669,Brazil,Uruguay,1995,1265,1252,630,2630
1670,Chile,Uruguay,1995,126,119,58,252
1671,Colombia,Uruguay,1995,36,36,15,85
1672,Ecuador,Uruguay,1995,34,34,15,77
1673,Paraguay,Uruguay,1995,141,137,70,313
1674,Peru,Uruguay,1995,61,62,29,124
1675,Venezuela,Uruguay,1995,159,154,86,348
1676,USA,Uruguay,1995,533,513,265,1149
1677,Canada,Uruguay,1995,147,145,67,363
1678,Spain,Uruguay,1995,450,462,182,994
1679,America,Uruguay,1995,1657,1682,669,2982
1680,Africa,Uruguay,1995,260,245,111,549
1681,Asia,Uruguay,1995,932,923,457,2286
1682,Europe,Uruguay,1995,819,836,360,1620
1683,Oceania,Uruguay,1995,210,217,94,497
1684,Argentina,Venezuela,1995,713,701,317,1871
1685,Bolivia,Venezuela,1995,197,203,85,430
1686,Brazil,Venezuela,1995,807,770,314,2102
1687,Chile,Venezuela,1995,535,543,222,1168
1688,Colombia,Venezuela,1995,43665,42098,17900,116054
1689,Ecuador,Venezuela,1995,1817,1879,656,4342
1690,Paraguay,Venezuela,1995,44,42,17,123
1691,Peru,Venezuela,1995,2446,2498,797,7024
1692,Uruguay,Venezuela,1995,148,151,46,325
1693,USA,Venezuela,1995,2242,2340,566,6070
1694,Canada,Venezuela,1995,148,140,54,438
1695,Spain,Venezuela,1995,867,859,312,1991
1696,America,Venezuela,1995,5114,5053,2278,13611
1697,Africa,Venezuela,1995,274,279,132,601
1698,Asia,Venezuela,1995,2475,2510,913,7359
1699,Europe,Venezuela,1995,2764,2826,1143,7125
1700,Oceania,Venezuela,1995,488,485,211,1314
1701,Bolivia,Argentina,1996,4563,4715,1992,8486
1702,Brazil,Argentina,1996,983,996,417,2279
1703,Chile,Argentina,1996,2842,2846,1142,6296
1704,Colombia,Argentina,1996,414,415,152,1030
1705,Ecuador,Argentina,1996,157,162,62,392
1706,Paraguay,Argentina,1996,5612,5539,2428,14856
1707,Peru,Argentina,1996,2784,2654,1198,8485
1708,Uruguay,Argentina,1996,1204,1139,603,2661
1709,Venezuela,Argentina,1996,249,240,125,564
1710,USA,Argentina,1996,1010,1019,475,2167
1711,Canada,Argentina,1996,74,76,29,182
1712,Spain,Argentina,1996,604,604,213,1599
1713,America,Argentina,1996,1178,1160,542,2476
1714,Africa,Argentina,1996,86,85,39,193
1715,Asia,Argentina,1996,587,570,208,1351
1716,Europe,Argentina,1996,1384,1425,587,3018
1717,Oceania,Argentina,1996,64,59,31,145
1718,Argentina,Bolivia,1996,4446,4416,1731,11466
1719,Brazil,Bolivia,1996,1649,1617,722,3839
1720,Chile,Bolivia,1996,466,484,192,1100
1721,Colombia,Bolivia,1996,173,171,67,385
1722,Ecuador,Bolivia,1996,103,101,36,322
1723,Paraguay,Bolivia,1996,210,217,77,502
1724,Peru,Bolivia,1996,889,964,298,2299
1725,Uruguay,Bolivia,1996,40,39,15,119
1726,Venezuela,Bolivia,1996,72,74,29,158
1727,USA,Bolivia,1996,1100,1076,403,2466
1728,Canada,Bolivia,1996,102,111,39,231
1729,Spain,Bolivia,1996,222,215,95,560
1730,America,Bolivia,1996,587,573,253,1477
1731,Africa,Bolivia,1996,30,32,11,66
1732,Asia,Bolivia,1996,353,376,132,926
1733,Europe,Bolivia,1996,641,636,263,1518
1734,Oceania,Bolivia,1996,22,22,10,56
1735,Argentina,Brazil,1996,5834,5825,2636,13892
1736,Bolivia,Brazil,1996,2445,2424,1173,5456
1737,Chile,Brazil,1996,837,833,359,2372
1738,Colombia,Brazil,1996,981,1001,463,2173
1739,Ecuador,Brazil,1996,207,213,86,415
1740,Paraguay,Brazil,1996,8223,7972,3656,18676
1741,Peru,Brazil,1996,2423,2451,1246,5113
1742,Uruguay,Brazil,1996,1022,990,456,2305
1743,Venezuela,Brazil,1996,606,623,268,1411
1744,USA,Brazil,1996,5637,5677,2438,11550
1745,Canada,Brazil,1996,352,329,176,895
1746,Spain,Brazil,1996,874,897,352,1850
1747,America,Brazil,1996,3116,3145,1352,6352
1748,Africa,Brazil,1996,1385,1393,547,3063
1749,Asia,Brazil,1996,11663,12002,6056,22026
1750,Europe,Brazil,1996,14753,15555,5684,30521
1751,Oceania,Brazil,1996,136,136,63,312
1752,Argentina,Chile,1996,16033,15270,6681,43560
1753,Bolivia,Chile,1996,1369,1418,419,3233
1754,Brazil,Chile,1996,1749,1841,741,4664
1755,Colombia,Chile,1996,861,825,322,2611
1756,Ecuador,Chile,1996,1939,1870,719,5601
1757,Paraguay,Chile,1996,322,325,128,683
1758,Peru,Chile,1996,5097,5124,2269,12533
1759,Uruguay,Chile,1996,336,328,154,842
1760,Venezuela,Chile,1996,1357,1306,576,3692
1761,USA,Chile,1996,2612,2594,964,6439
1762,Canada,Chile,1996,652,634,252,2032
1763,Spain,Chile,1996,1051,1069,455,2543
1764,America,Chile,1996,1642,1725,611,4540
1765,Africa,Chile,1996,190,191,82,514
1766,Asia,Chile,1996,1027,1007,444,2519
1767,Europe,Chile,1996,3247,3167,1299,8768
1768,Oceania,Chile,1996,455,436,193,1107
1769,Argentina,Colombia,1996,615,627,227,1731
1770,Bolivia,Colombia,1996,116,116,38,311
1771,Brazil,Colombia,1996,470,449,183,1466
1772,Chile,Colombia,1996,225,220,91,613
1773,Ecuador,Colombia,1996,2902,2988,1180,7546
1774,Paraguay,Colombia,1996,46,45,16,109
1775,Peru,Colombia,1996,752,675,300,2225
1776,Uruguay,Colombia,1996,72,75,26,193
1777,Venezuela,Colombia,1996,12978,13226,5452,36126
1778,USA,Colombia,1996,10771,10824,3844,24975
1779,Canada,Colombia,1996,383,370,140,982
1780,Spain,Colombia,1996,1315,1350,411,3381
1781,America,Colombia,1996,2747,2750,990,7581
1782,Africa,Colombia,1996,97,97,35,264
1783,Asia,Colombia,1996,1086,1069,416,3045
1784,Europe,Colombia,1996,2631,2646,895,6654
1785,Oceania,Colombia,1996,199,196,76,458
1786,Argentina,Ecuador,1996,246,240,108,619
1787,Bolivia,Ecuador,1996,76,75,27,197
1788,Brazil,Ecuador,1996,139,138,66,344
1789,Chile,Ecuador,1996,283,273,107,706
1790,Colombia,Ecuador,1996,3358,3529,1541,7834
1791,Paraguay,Ecuador,1996,15,16,6,34
1792,Peru,Ecuador,1996,389,373,148,924
1793,Uruguay,Ecuador,1996,30,30,13,65
1794,Venezuela,Ecuador,1996,435,433,192,1192
1795,USA,Ecuador,1996,2265,2218,1090,7370
1796,Canada,Ecuador,1996,125,129,51,289
1797,Spain,Ecuador,1996,424,410,177,1045
1798,America,Ecuador,1996,553,558,203,1376
1799,Africa,Ecuador,1996,29,26,10,75
1800,Asia,Ecuador,1996,384,386,158,954
1801,Europe,Ecuador,1996,764,745,357,1953
1802,Oceania,Ecuador,1996,69,65,34,141
1803,Argentina,Paraguay,1996,12051,12090,4674,26472
1804,Bolivia,Paraguay,1996,166,164,73,492
1805,Brazil,Paraguay,1996,4509,4790,1674,10400
1806,Chile,Paraguay,1996,209,207,79,535
1807,Colombia,Paraguay,1996,38,37,16,110
1808,Ecuador,Paraguay,1996,21,20,8,58
1809,Peru,Paraguay,1996,179,187,71,425
1810,Uruguay,Paraguay,1996,235,230,89,553
1811,Venezuela,Paraguay,1996,31,34,14,68
1812,USA,Paraguay,1996,382,393,155,963
1813,Canada,Paraguay,1996,111,118,42,338
1814,Spain,Paraguay,1996,84,87,35,209
1815,America,Paraguay,1996,154,155,65,410
1816,Africa,Paraguay,1996,30,29,13,63
1817,Asia,Paraguay,1996,468,458,200,1228
1818,Europe,Paraguay,1996,387,407,153,834
1819,Oceania,Paraguay,1996,14,14,6,39
1820,Argentina,Peru,1996,4947,4749,2196,12625
1821,Bolivia,Peru,1996,2937,2981,1244,7351
1822,Brazil,Peru,1996,2151,2111,797,5663
1823,Chile,Peru,1996,2410,2504,1144,5110
1824,Colombia,Peru,1996,2388,2360,942,5965
1825,Ecuador,Peru,1996,1422,1421,505,3186
1826,Paraguay,Peru,1996,232,225,85,546
1827,Uruguay,Peru,1996,220,218,79,620
1828,Venezuela,Peru,1996,2194,2258,910,5634
1829,USA,Peru,1996,8826,8655,3571,24187
1830,Canada,Peru,1996,685,698,306,1976
1831,Spain,Peru,1996,1984,2115,816,4238
1832,America,Peru,1996,2491,2534,1100,5544
1833,Africa,Peru,1996,265,259,112,604
1834,Asia,Peru,1996,4456,4393,1994,10827
1835,Europe,Peru,1996,6086,6092,2294,13971
1836,Oceania,Peru,1996,298,301,106,812
1837,Argentina,Uruguay,1996,2880,2995,1219,6257
1838,Bolivia,Uruguay,1996,54,52,27,114
1839,Brazil,Uruguay,1996,1182,1160,511,2981
1840,Chile,Uruguay,1996,113,116,51,246
1841,Colombia,Uruguay,1996,43,46,20,87
1842,Ecuador,Uruguay,1996,35,34,14,98
1843,Paraguay,Uruguay,1996,157,159,71,289
1844,Peru,Uruguay,1996,72,72,32,154
1845,Venezuela,Uruguay,1996,142,147,53,343
1846,USA,Uruguay,1996,448,457,201,928
1847,Canada,Uruguay,1996,104,105,45,224
1848,Spain,Uruguay,1996,438,432,203,912
1849,America,Uruguay,1996,1372,1370,575,3323
1850,Africa,Uruguay,1996,227,226,110,426
1851,Asia,Uruguay,1996,869,887,421,1915
1852,Europe,Uruguay,1996,651,649,319,1414
1853,Oceania,Uruguay,1996,237,235,126,494
1854,Argentina,Venezuela,1996,940,983,368,2112
1855,Bolivia,Venezuela,1996,240,241,89,733
1856,Brazil,Venezuela,1996,847,858,288,1857
1857,Chile,Venezuela,1996,600,551,227,1580
1858,Colombia,Venezuela,1996,55042,51880,23402,140007
1859,Ecuador,Venezuela,1996,2182,2070,881,6502
1860,Paraguay,Venezuela,1996,61,64,21,172
1861,Peru,Venezuela,1996,3237,3461,1431,8359
1862,Uruguay,Venezuela,1996,163,171,60,371
1863,USA,Venezuela,1996,3111,3227,1276,6595
1864,Canada,Venezuela,1996,209,209,94,555
1865,Spain,Venezuela,1996,1207,1168,478,3160
1866,America,Venezuela,1996,6339,6209,2974,14733
1867,Africa,Venezuela,1996,335,338,115,912
1868,Asia,Venezuela,1996,2848,2879,1183,6434
1869,Europe,Venezuela,1996,3601,3607,1418,8621
1870,Oceania,Venezuela,1996,610,650,213,2124
1871,Bolivia,Argentina,1997,4748,4581,2397,10849
1872,Brazil,Argentina,1997,1024,1033,478,2229
1873,Chile,Argentina,1997,2401,2426,1298,4713
1874,Colombia,Argentina,1997,322,316,153,676
1875,Ecuador,Argentina,1997,154,153,67,319
1876,Paraguay,Argentina,1997,5474,5219,2819,11568
1877,Peru,Argentina,1997,3507,3633,1639,7466
1878,Uruguay,Argentina,1997,1121,1124,636,1989
1879,Venezuela,Argentina,1997,216,218,102,455
1880,USA,Argentina,1997,863,866,407,1719
1881,Canada,Argentina,1997,79,80,40,138
1882,Spain,Argentina,1997,639,662,334,1191
1883,America,Argentina,1997,1047,1040,449,2076
1884,Africa,Argentina,1997,79,78,39,150
1885,Asia,Argentina,1997,710,689,360,1391
1886,Europe,Argentina,1997,1526,1488,772,3172
1887,Oceania,Argentina,1997,63,62,29,127
1888,Argentina,Bolivia,1997,3846,3752,1931,8776
1889,Brazil,Bolivia,1997,1591,1591,766,3624
1890,Chile,Bolivia,1997,429,433,192,919
1891,Colombia,Bolivia,1997,124,126,68,234
1892,Ecuador,Bolivia,1997,69,68,32,155
1893,Paraguay,Bolivia,1997,241,239,105,535
1894,Peru,Bolivia,1997,710,716,321,1580
1895,Uruguay,Bolivia,1997,29,29,14,64
1896,Venezuela,Bolivia,1997,62,62,29,138
1897,USA,Bolivia,1997,753,764,339,1413
1898,Canada,Bolivia,1997,91,91,38,196
1899,Spain,Bolivia,1997,186,174,97,413
1900,America,Bolivia,1997,534,527,274,1154
1901,Africa,Bolivia,1997,24,25,12,48
1902,Asia,Bolivia,1997,309,321,139,673
1903,Europe,Bolivia,1997,488,488,238,1064
1904,Oceania,Bolivia,1997,18,17,9,37
1905,Argentina,Brazil,1997,5408,5117,2436,13215
1906,Bolivia,Brazil,1997,2551,2550,1063,5363
1907,Chile,Brazil,1997,971,989,492,2078
1908,Colombia,Brazil,1997,894,928,372,1964
1909,Ecuador,Brazil,1997,215,201,107,543
1910,Paraguay,Brazil,1997,9672,9480,4412,24794
1911,Peru,Brazil,1997,2284,2239,1151,5294
1912,Uruguay,Brazil,1997,1266,1259,633,2766
1913,Venezuela,Brazil,1997,566,562,233,1211
1914,USA,Brazil,1997,6655,6461,3450,14854
1915,Canada,Brazil,1997,465,451,255,916
1916,Spain,Brazil,1997,1230,1206,577,2783
1917,America,Brazil,1997,3565,3684,1226,8365
1918,Africa,Brazil,1997,1478,1467,737,3056
1919,Asia,Brazil,1997,14719,15323,6233,38342
1920,Europe,Brazil,1997,18572,19619,8434,40930
1921,Oceania,Brazil,1997,240,251,95,478
1922,Argentina,Chile,1997,15157,14460,5837,45315
1923,Bolivia,Chile,1997,1263,1289,505,3456
1924,Brazil,Chile,1997,1800,1778,781,5004
1925,Colombia,Chile,1997,822,814,332,2315
1926,Ecuador,Chile,1997,2174,1999,832,7510
1927,Paraguay,Chile,1997,281,284,124,821
1928,Peru,Chile,1997,5268,5518,2008,11014
1929,Uruguay,Chile,1997,304,321,88,754
1930,Venezuela,Chile,1997,1367,1383,551,3135
1931,USA,Chile,1997,2347,2394,1170,5416
1932,Canada,Chile,1997,552,547,219,1414
1933,Spain,Chile,1997,1143,1223,500,2790
1934,America,Chile,1997,1800,1727,702,3999
1935,Africa,Chile,1997,158,159,50,325
1936,Asia,Chile,1997,1008,1021,462,2197
1937,Europe,Chile,1997,3348,3343,1517,9081
1938,Oceania,Chile,1997,446,448,183,975
1939,Argentina,Colombia,1997,602,596,210,1837
1940,Bolivia,Colombia,1997,102,108,37,286
1941,Brazil,Colombia,1997,456,442,181,1156
1942,Chile,Colombia,1997,220,227,73,584
1943,Ecuador,Colombia,1997,2373,2270,903,7871
1944,Paraguay,Colombia,1997,37,40,12,100
1945,Peru,Colombia,1997,648,631,272,1694
1946,Uruguay,Colombia,1997,70,69,28,195
1947,Venezuela,Colombia,1997,12584,13132,4733,34582
1948,USA,Colombia,1997,8761,8962,3775,24305
1949,Canada,Colombia,1997,332,334,114,922
1950,Spain,Colombia,1997,1274,1253,473,3437
1951,America,Colombia,1997,2624,2639,942,8681
1952,Africa,Colombia,1997,87,86,32,221
1953,Asia,Colombia,1997,900,959,357,2010
1954,Europe,Colombia,1997,2626,2660,838,6999
1955,Oceania,Colombia,1997,201,205,61,541
1956,Argentina,Ecuador,1997,167,167,79,354
1957,Bolivia,Ecuador,1997,44,46,19,95
1958,Brazil,Ecuador,1997,100,101,47,206
1959,Chile,Ecuador,1997,236,243,113,510
1960,Colombia,Ecuador,1997,2459,2477,1209,4737
1961,Paraguay,Ecuador,1997,11,11,5,29
1962,Peru,Ecuador,1997,294,294,134,743
1963,Uruguay,Ecuador,1997,17,18,9,37
1964,Venezuela,Ecuador,1997,363,370,169,786
1965,USA,Ecuador,1997,1859,1844,916,3768
1966,Canada,Ecuador,1997,97,95,50,222
1967,Spain,Ecuador,1997,283,274,148,651
1968,America,Ecuador,1997,516,495,286,1022
1969,Africa,Ecuador,1997,26,26,13,49
1970,Asia,Ecuador,1997,311,306,140,597
1971,Europe,Ecuador,1997,639,626,288,1461
1972,Oceania,Ecuador,1997,49,51,24,103
1973,Argentina,Paraguay,1997,10323,10462,4754,24114
1974,Bolivia,Paraguay,1997,156,153,71,476
1975,Brazil,Paraguay,1997,3959,4167,1455,10068
1976,Chile,Paraguay,1997,215,216,95,515
1977,Colombia,Paraguay,1997,37,38,16,86
1978,Ecuador,Paraguay,1997,18,19,7,52
1979,Peru,Paraguay,1997,156,158,61,406
1980,Uruguay,Paraguay,1997,225,243,87,490
1981,Venezuela,Paraguay,1997,27,27,12,65
1982,USA,Paraguay,1997,368,368,127,844
1983,Canada,Paraguay,1997,102,98,47,243
1984,Spain,Paraguay,1997,73,75,29,194
1985,America,Paraguay,1997,174,172,63,571
1986,Africa,Paraguay,1997,29,28,10,77
1987,Asia,Paraguay,1997,482,472,188,999
1988,Europe,Paraguay,1997,396,389,174,1178
1989,Oceania,Paraguay,1997,13,13,5,33
1990,Argentina,Peru,1997,4557,4470,1805,10558
1991,Bolivia,Peru,1997,2379,2322,1193,5057
1992,Brazil,Peru,1997,1873,1898,758,4425
1993,Chile,Peru,1997,2245,2239,899,6372
1994,Colombia,Peru,1997,1673,1600,641,4855
1995,Ecuador,Peru,1997,1300,1341,493,2839
1996,Paraguay,Peru,1997,204,203,97,483
1997,Uruguay,Peru,1997,200,197,100,470
1998,Venezuela,Peru,1997,2007,1979,728,4879
1999,USA,Peru,1997,7721,7656,2879,16595
2000,Canada,Peru,1997,557,539,221,1314
2001,Spain,Peru,1997,1855,1833,697,4321
2002,America,Peru,1997,2342,2400,949,4896
2003,Africa,Peru,1997,237,230,101,639
2004,Asia,Peru,1997,3654,3490,1834,9657
2005,Europe,Peru,1997,5894,5966,2382,17040
2006,Oceania,Peru,1997,220,223,82,625
2007,Argentina,Uruguay,1997,2467,2540,966,6517
2008,Bolivia,Uruguay,1997,46,47,16,104
2009,Brazil,Uruguay,1997,1243,1227,438,3819
